time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.22055000e+04 -5.83332570e+07 -3.04831540e+06 5.09997398e+06 4.79484026e+07 -9.77061372e+07 -4.11070569e+06 -4.97544707e+07 -1.43309045e+08 1.08590332e+04 -3.41012924e+07 -2.17966286e+08 -3.73265840e+06 6.11606252e+08 -4.39703559e+08 -1.18537735e+07 -2.14923142e+08 1.33318389e+09 -1.45921979e+07 -5.55105211e+07 2.84021368e+09 1.12455941e+07 4.25761527e+09 1.33565669e+09 -1.25621653e+08 -4.97544707e+07 -1.43309045e+08 1.08590332e+04
1.22075085e+04 -5.90854926e+07 -1.10728805e+07 4.51308025e+06 5.32863948e+07 -9.48996895e+07 -4.38007042e+06 -4.49275263e+07 -1.44941663e+08 1.09845433e+04 -2.97827325e+07 -2.18214110e+08 -3.84368738e+06 6.12899577e+08 -4.37752520e+08 -1.18908327e+07 -2.16666400e+08 1.33291320e+09 -1.45180919e+07 -5.67006294e+07 2.84013516e+09 1.12607138e+07 4.25732681e+09 1.33656220e+09 -1.25633654e+08 -4.28693074e+07 -1.45778225e+08 -4.54463439e+05
1.22095170e+04 -5.87603671e+07 -1.88974671e+07 3.84373796e+06 5.84596394e+07 -9.17998353e+07 -4.63589298e+06 -4.00491980e+07 -1.46408512e+08 1.10975292e+04 -2.54530369e+07 -2.18380331e+08 -3.95327885e+06 6.14187166e+08 -4.35797383e+08 -1.19277805e+07 -2.18409307e+08 1.33264036e+09 -1.44439622e+07 -5.78907278e+07 2.84005614e+09 1.12758315e+07 4.25703815e+09 1.33746765e+09 -1.25645649e+08 -3.59353210e+07 -1.48081414e+08 -9.19269018e+05
1.22115255e+04 -5.74426071e+07 -2.64044604e+07 3.10932954e+06 6.34521797e+07 -8.84162181e+07 -4.87738539e+06 -3.51251035e+07 -1.47708057e+08 1.11978679e+04 -2.11137757e+07 -2.18464468e+08 -4.06138422e+06 6.15469006e+08 -4.33838168e+08 -1.19646168e+07 -2.20151860e+08 1.33236535e+09 -1.43698091e+07 -5.90808160e+07 2.83997663e+09 1.12909472e+07 4.25674931e+09 1.33837305e+09 -1.25657638e+08 -2.89607480e+07 -1.50217414e+08 -1.38303758e+06
1.22135340e+04 -5.52195973e+07 -3.34967523e+07 2.32580510e+06 6.82486119e+07 -8.47593372e+07 -5.10380338e+06 -3.01609011e+07 -1.48838943e+08 1.12854507e+04 -1.67665392e+07 -2.18466068e+08 -4.16795503e+06 6.16745082e+08 -4.31874889e+08 -1.20013409e+07 -2.21894055e+08 1.33208818e+09 -1.42956327e+07 -6.02708938e+07 2.83989662e+09 1.13060609e+07 4.25646027e+09 1.33927838e+09 -1.25669621e+08 -2.19538463e+07 -1.52185824e+08 -1.84526428e+06
1.22155425e+04 -5.21788799e+07 -4.00942405e+07 1.50773926e+06 7.28341297e+07 -8.08405170e+07 -5.31444850e+06 -2.51622845e+07 -1.49800004e+08 1.13601829e+04 -1.24129377e+07 -2.18384709e+08 -4.27294300e+06 6.18015380e+08 -4.29907564e+08 -1.20379527e+07 -2.23635890e+08 1.33180885e+09 -1.42214330e+07 -6.14609610e+07 2.83981612e+09 1.13211727e+07 4.25617104e+09 1.34018365e+09 -1.25681599e+08 -1.49228008e+07 -1.53987025e+08 -2.30546492e+06
1.22175510e+04 -4.84067207e+07 -4.61307607e+07 6.68450398e+05 7.71945670e+07 -7.66718740e+07 -5.50867012e+06 -2.01349766e+07 -1.50590261e+08 1.14219836e+04 -8.05460042e+06 -2.18220002e+08 -4.37630002e+06 6.19279886e+08 -4.27936211e+08 -1.20744516e+07 -2.25377361e+08 1.33152736e+09 -1.41472103e+07 -6.26510175e+07 2.83973513e+09 1.13362825e+07 4.25588162e+09 1.34108886e+09 -1.25693571e+08 -7.87563425e+06 -1.55622141e+08 -2.76318054e+06
1.22195595e+04 -4.39874104e+07 -5.15514978e+07 -1.79851844e+05 8.13164387e+07 -7.22662810e+07 -5.68586734e+06 -1.50847242e+07 -1.51208919e+08 1.14707865e+04 -3.69317520e+06 -2.17971591e+08 -4.47797823e+06 6.20538587e+08 -4.25960847e+08 -1.21108374e+07 -2.27118467e+08 1.33124371e+09 -1.40729646e+07 -6.38410630e+07 2.83965363e+09 1.13513903e+07 4.25559200e+09 1.34199401e+09 -1.25705538e+08 -8.20125981e+05 -1.57093000e+08 -3.21798139e+06
1.22215680e+04 -3.90030649e+07 -5.63108610e+07 -1.02591118e+06 8.51869805e+07 -6.76373306e+07 -5.84549072e+06 -1.00172919e+07 -1.51655372e+08 1.15065391e+04 6.69672058e+05 -2.17639151e+08 -4.57793003e+06 6.21791469e+08 -4.23981488e+08 -1.21471096e+07 -2.28859205e+08 1.33095789e+09 -1.39986961e+07 -6.50310972e+07 2.83957164e+09 1.13664961e+07 4.25530220e+09 1.34289911e+09 -1.25717498e+08 6.23625843e+06 -1.58402070e+08 -3.66946996e+06
1.22235765e+04 -3.35337577e+07 -6.03707749e+07 -1.85927289e+06 8.87941858e+07 -6.27992952e+07 -5.98704391e+06 -4.93845684e+06 -1.51929202e+08 1.15292032e+04 5.03225820e+06 -2.17222393e+08 -4.67610810e+06 6.23038519e+08 -4.21998152e+08 -1.21832679e+07 -2.30599571e+08 1.33066992e+09 -1.39244048e+07 -6.62211201e+07 2.83948916e+09 1.13815999e+07 4.25501220e+09 1.34380414e+09 -1.25729454e+08 1.32864268e+07 -1.59552399e+08 -4.11728324e+06
