time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.18425000e+04 -3.21263518e+07 3.70628503e+07 5.97526046e+06 3.01544363e+07 1.03513500e+08 -3.15861827e+05 -4.43283653e+07 -1.45131747e+08 1.06712230e+04 -4.20990087e+06 2.35093644e+08 5.03044900e+06 2.99531785e+08 -7.10741998e+08 -3.74312808e+06 1.03069468e+08 1.34627595e+09 -2.74797390e+07 1.59536202e+08 2.84628463e+09 8.48338013e+06 4.30659263e+09 1.17105533e+09 -1.23360552e+08 -4.43283653e+07 -1.45131747e+08 1.06712230e+04
1.18439975e+04 -3.78578453e+07 3.28625928e+07 6.15755468e+06 2.57635258e+07 1.04666874e+08 -4.66567010e+04 -4.06912392e+07 -1.46225897e+08 1.07530281e+04 -7.22548307e+06 2.35283833e+08 5.10834408e+06 3.01069094e+08 -7.10004004e+08 -3.78059594e+06 1.01757241e+08 1.34636881e+09 -2.74291093e+07 1.58650073e+08 2.84629267e+09 8.49488505e+06 4.30640353e+09 1.17173807e+09 -1.23370254e+08 -3.89506466e+07 -1.46815356e+08 -2.59201898e+05
1.18454950e+04 -4.29385264e+07 2.80956055e+07 6.23384817e+06 2.13269207e+07 1.05634605e+08 2.22631117e+05 -3.70282606e+07 -1.47227146e+08 1.08280210e+04 -1.02398358e+07 2.35433973e+08 5.18536961e+06 3.02604943e+08 -7.09262567e+08 -3.81804547e+06 1.00444921e+08 1.34646046e+09 -2.73784548e+07 1.57763929e+08 2.84630043e+09 8.50638915e+06 4.30621432e+09 1.17242078e+09 -1.23379953e+08 -3.35482393e+07 -1.48405917e+08 -5.28910852e+05
1.18469925e+04 -4.73301621e+07 2.28762290e+07 6.20998016e+06 1.68524637e+07 1.06414846e+08 4.91523727e+05 -3.33417707e+07 -1.48134913e+08 1.08961564e+04 -1.32524519e+07 2.35544174e+08 5.26151544e+06 3.04139324e+08 -7.08517692e+08 -3.85547649e+06 9.91325112e+07 1.34655089e+09 -2.73277757e+07 1.56877770e+08 2.84630792e+09 8.51789242e+06 4.30602500e+09 1.17310345e+09 -1.23389650e+08 -2.81246734e+07 -1.49902897e+08 -7.98286459e+05
1.18484900e+04 -5.10141971e+07 1.73135302e+07 6.09316333e+06 1.23480764e+07 1.07006087e+08 7.59543288e+05 -2.96341222e+07 -1.48948676e+08 1.09573931e+04 -1.62628278e+07 2.35614549e+08 5.33677161e+06 3.05672230e+08 -7.07769379e+08 -3.89288880e+06 9.78200118e+07 1.34664011e+09 -2.72770719e+07 1.55991596e+08 2.84631514e+09 8.52939488e+06 4.30583558e+09 1.17378610e+09 -1.23399343e+08 -2.26834962e+07 -1.51306035e+08 -1.06716256e+06
1.18499875e+04 -5.39880632e+07 1.15086757e+07 5.89143075e+06 7.82174466e+06 1.07407155e+08 1.02621290e+06 -2.59076782e+07 -1.49667968e+08 1.10116943e+04 -1.92704634e+07 2.35645218e+08 5.41112838e+06 3.07203653e+08 -7.07017632e+08 -3.93028223e+06 9.65074243e+07 1.34672811e+09 -2.72263434e+07 1.55105407e+08 2.84632209e+09 8.54089652e+06 4.30564605e+09 1.17446872e+09 -1.23409033e+08 -1.72282458e+07 -1.52615342e+08 -1.33537714e+06
1.18514850e+04 -5.62616468e+07 5.55356027e+06 5.61319973e+06 3.28150411e+06 1.07617217e+08 1.29105750e+06 -2.21648103e+07 -1.50292382e+08 1.10590274e+04 -2.22748626e+07 2.35636305e+08 5.48457620e+06 3.08733585e+08 -7.06262453e+08 -3.96765657e+06 9.51947498e+07 1.34681489e+09 -2.71755904e+07 1.54219203e+08 2.84632876e+09 8.55239733e+06 4.30545641e+09 1.17515131e+09 -1.23418720e+08 -1.17624268e+07 -1.53831091e+08 -1.60277343e+06
1.18529825e+04 -5.78541623e+07 -4.69636046e+05 5.26694904e+06 -1.26457473e+06 1.07635785e+08 1.55360472e+06 -1.84078982e+07 -1.50821567e+08 1.10993639e+04 -2.52755329e+07 2.35587942e+08 5.55710573e+06 3.10262017e+08 -7.05503845e+08 -4.00501164e+06 9.38819894e+07 1.34690047e+09 -2.71248128e+07 1.53332984e+08 2.84633516e+09 8.56389731e+06 4.30526666e+09 1.17583388e+09 -1.23428404e+08 -6.28948631e+06 -1.54953810e+08 -1.86920081e+06
1.18544800e+04 -5.87915360e+07 -6.48825943e+06 4.86099429e+06 -5.80840134e+06 1.07462716e+08 1.81338580e+06 -1.46393274e+07 -1.51255231e+08 1.11326797e+04 -2.82719855e+07 2.35500262e+08 5.62870782e+06 3.11788943e+08 -7.04741811e+08 -4.04234727e+06 9.25691444e+07 1.34698482e+09 -2.70740108e+07 1.52446751e+08 2.84634129e+09 8.57539648e+06 4.30507681e+09 1.17651641e+09 -1.23438084e+08 -8.12791941e+05 -1.55984270e+08 -2.13451569e+06
1.18559775e+04 -5.91043059e+07 -1.24386059e+07 4.40334256e+06 -1.03418802e+07 1.07098216e+08 2.06993647e+06 -1.08614887e+07 -1.51593141e+08 1.11589549e+04 -3.12637355e+07 2.35373406e+08 5.69937351e+06 3.13314354e+08 -7.03976353e+08 -4.07966325e+06 9.12562160e+07 1.34706796e+09 -2.70231843e+07 1.51560503e+08 2.84634714e+09 8.58689481e+06 4.30488684e+09 1.17719891e+09 -1.23447762e+08 4.66438782e+06 -1.56923468e+08 -2.39858217e+06
1.18574750e+04 -5.88259947e+07 -1.82651364e+07 3.90160725e+06 -1.48569260e+07 1.06542833e+08 2.32279780e+06 -7.07677638e+06 -1.51835118e+08 1.11781738e+04 -3.42503015e+07 2.35207520e+08 5.76909407e+06 3.14838242e+08 -7.03207473e+08 -4.11695940e+06 8.99432052e+07 1.34714989e+09 -2.69723335e+07 1.50674240e+08 2.84635272e+09 8.59839232e+06 4.30469677e+09 1.17788138e+09 -1.23457437e+08 1.01389015e+07 -1.57772615e+08 -2.66127270e+06
1.18589725e+04 -5.79918861e+07 -2.39196086e+07 3.36296691e+06 -1.93454786e+07 1.05797465e+08 2.57151708e+06 -3.28758716e+06 -1.51981044e+08 1.11903250e+04 -3.72312062e+07 2.35002753e+08 5.83786092e+06 3.16360600e+08 -7.02435175e+08 -4.15423554e+06 8.86301134e+07 1.34723060e+09 -2.69214583e+07 1.49787963e+08 2.84635802e+09 8.60988900e+06 4.30450660e+09 1.17856383e+09 -1.23467108e+08 1.56077295e+07 -1.58533114e+08 -2.92246845e+06
1.18604700e+04 -5.66381322e+07 -2.93602038e+07 2.79415467e+06 -2.37995184e+07 1.04863356e+08 2.81564871e+06 5.03681241e+05 -1.52030859e+08 1.11954013e+04 -4.02059760e+07 2.34759259e+08 5.90566571e+06 3.17881419e+08 -7.01659461e+08 -4.19149147e+06 8.73169417e+07 1.34731009e+09 -2.68705588e+07 1.48901672e+08 2.84636306e+09 8.62138484e+06 4.30431631e+09 1.17924624e+09 -1.23476777e+08 2.10679971e+07 -1.59206543e+08 -3.18205965e+06
1.18619675e+04 -5.48011237e+07 -3.45507000e+07 2.20146816e+06 -2.82110813e+07 1.03742091e+08 3.05475501e+06 4.29463135e+06 -1.51984560e+08 1.11933999e+04 -4.31741411e+07 2.34477199e+08 5.97250026e+06 3.19400691e+08 -7.00880334e+08 -4.22872701e+06 8.60036913e+07 1.34738837e+09 -2.68196350e+07 1.48015366e+08 2.84636782e+09 8.63287986e+06 4.30412592e+09 1.17992862e+09 -1.23486442e+08 2.65169842e+07 -1.59794637e+08 -3.43994581e+06
1.18634650e+04 -5.25170653e+07 -3.94597136e+07 1.59079245e+06 -3.25722739e+07 1.02435599e+08 3.28840708e+06 8.08286723e+06 -1.51842202e+08 1.11843222e+04 -4.61352356e+07 2.34156736e+08 6.03835660e+06 3.20918410e+08 -7.00097796e+08 -4.26594197e+06 8.46903633e+07 1.34746543e+09 -2.67686870e+07 1.47129046e+08 2.84637230e+09 8.64437405e+06 4.30393542e+09 1.18061098e+09 -1.23496104e+08 3.19521331e+07 -1.60299265e+08 -3.69603575e+06
1.18649625e+04 -4.98217050e+07 -4.40600232e+07 9.67630579e+05 -3.68752883e+07 1.00946146e+08 3.51618561e+06 1.18659958e+07 -1.51603897e+08 1.11681737e+04 -4.90887973e+07 2.33798039e+08 6.10322692e+06 3.22434566e+08 -6.99311850e+08 -4.30313617e+06 8.33769590e+07 1.34754128e+09 -2.67177149e+07 1.46242712e+08 2.84637652e+09 8.65586740e+06 4.30374481e+09 1.18129331e+09 -1.23505764e+08 3.73710533e+07 -1.60722413e+08 -3.95024757e+06
1.18664600e+04 -4.67501832e+07 -4.83279772e+07 3.37138087e+05 -4.11124173e+07 9.92763322e+07 3.73768168e+06 1.56416280e+07 -1.51269816e+08 1.11449644e+04 -5.20343679e+07 2.33401281e+08 6.16710362e+06 3.23949152e+08 -6.98522499e+08 -4.34030941e+06 8.20634795e+07 1.34761591e+09 -2.66667186e+07 1.45356365e+08 2.84638045e+09 8.66735992e+06 4.30355410e+09 1.18197560e+09 -1.23515420e+08 4.27715246e+07 -1.61066164e+08 -4.20250852e+06
1.18679575e+04 -4.33369671e+07 -5.22429812e+07 -2.95841082e+05 -4.52760687e+07 9.74290893e+07 3.95249758e+06 1.94073804e+07 -1.50840185e+08 1.11147084e+04 -5.49714932e+07 2.32966640e+08 6.22997929e+06 3.25462161e+08 -6.97729746e+08 -4.37746151e+06 8.07499261e+07 1.34768933e+09 -2.66156983e+07 1.44470003e+08 2.84638412e+09 8.67885160e+06 4.30336327e+09 1.18265787e+09 -1.23525073e+08 4.81514981e+07 -1.61332676e+08 -4.45275479e+06
1.18694550e+04 -3.96158517e+07 -5.57870611e+07 -9.26738789e+05 -4.93587798e+07 9.54076728e+07 4.16024752e+06 2.31608760e+07 -1.50315291e+08 1.10774239e+04 -5.78997226e+07 2.32494296e+08 6.29184669e+06 3.26973584e+08 -6.96933594e+08 -4.41459228e+06 7.94362998e+07 1.34776152e+09 -2.65646539e+07 1.43583627e+08 2.84638751e+09 8.69034244e+06 4.30317234e+09 1.18334010e+09 -1.23534723e+08 5.35090947e+07 -1.61524170e+08 -4.70093117e+06
