time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.22145000e+04 -5.38538550e+07 -3.67359847e+07 1.93581449e+06 7.04812583e+07 -8.29065238e+07 -5.20712438e+06 -2.77607303e+07 -1.49322433e+08 1.13230029e+04 -1.46733433e+07 -2.18437317e+08 -4.21865015e+06 6.17356761e+08 -4.30929196e+08 -1.20189636e+07 -2.22731846e+08 1.33195411e+09 -1.42599488e+07 -6.08432650e+07 2.83985797e+09 1.13133293e+07 4.25632118e+09 1.33971378e+09 -1.25675383e+08 -2.77607303e+07 -1.49322433e+08 1.13230029e+04
1.22157741e+04 -5.17796689e+07 -4.08199395e+07 1.41181814e+06 7.33485910e+07 -8.03724123e+07 -5.33768999e+06 -2.45840343e+07 -1.49899842e+08 1.13679688e+04 -1.19106700e+07 -2.18369977e+08 -4.28494324e+06 6.18161462e+08 -4.29680490e+08 -1.20421665e+07 -2.23836685e+08 1.33177651e+09 -1.42128770e+07 -6.15981647e+07 2.83980681e+09 1.13229148e+07 4.25613768e+09 1.34028802e+09 -1.25682979e+08 -2.29286427e+07 -1.50277307e+08 -1.95686452e+05
1.22170481e+04 -4.94151596e+07 -4.46751923e+07 8.79891909e+05 7.61247018e+07 -7.77383436e+07 -5.46161718e+06 -2.13960592e+07 -1.50408477e+08 1.14077278e+04 -9.14616675e+06 -2.18269082e+08 -4.35057785e+06 6.18963832e+08 -4.28430163e+08 -1.20653239e+07 -2.24941377e+08 1.33159804e+09 -1.41657959e+07 -6.23530600e+07 2.83975545e+09 1.13324996e+07 4.25595410e+09 1.34086223e+09 -1.25690574e+08 -1.80860598e+07 -1.51163401e+08 -4.02606401e+05
1.22183222e+04 -4.67818829e+07 -4.82876154e+07 3.43167118e+05 7.88061360e+07 -7.50075914e+07 -5.57875167e+06 -1.81982714e+07 -1.50848134e+08 1.14422625e+04 -6.38025395e+06 -2.18134540e+08 -4.41554173e+06 6.19763867e+08 -4.27178220e+08 -1.20884358e+07 -2.26045923e+08 1.33141870e+09 -1.41187055e+07 -6.31079509e+07 2.83970389e+09 1.13420835e+07 4.25577044e+09 1.34143641e+09 -1.25698166e+08 -1.32352338e+07 -1.51980617e+08 -6.09342983e+05
1.22195963e+04 -4.39010383e+07 -5.16446474e+07 -1.95385528e+05 8.13895539e+07 -7.21835476e+07 -5.68894744e+06 -1.49921409e+07 -1.51218636e+08 1.14715580e+04 -3.61335482e+06 -2.17966264e+08 -4.47982273e+06 6.20561564e+08 -4.25924666e+08 -1.21115021e+07 -2.27150321e+08 1.33123850e+09 -1.40716059e+07 -6.38628374e+07 2.83965214e+09 1.13516667e+07 4.25558670e+09 1.34201058e+09 -1.25705756e+08 -8.37841173e+06 -1.52729011e+08 -8.15803739e+05
1.22208703e+04 -4.07934721e+07 -5.47351001e+07 -7.32939999e+05 8.38717350e+07 -6.92697178e+07 -5.79206691e+06 -1.17791397e+07 -1.51519838e+08 1.14956018e+04 -8.45895466e+05 -2.17764173e+08 -4.54340869e+06 6.21356919e+08 -4.24669504e+08 -1.21345227e+07 -2.28254571e+08 1.33105742e+09 -1.40244972e+07 -6.46177194e+07 2.83960018e+09 1.13612491e+07 4.25540289e+09 1.34258471e+09 -1.25713344e+08 -3.51782235e+06 -1.53408788e+08 -1.02189812e+06
1.22221444e+04 -3.74796970e+07 -5.75489918e+07 -1.26679945e+06 8.62495815e+07 -6.62697182e+07 -5.88798111e+06 -8.56074218e+06 -1.51751627e+08 1.15143834e+04 1.92169519e+06 -2.17528193e+08 -4.60628752e+06 6.22149930e+08 -4.23412740e+08 -1.21574976e+07 -2.29358672e+08 1.33087547e+09 -1.39773792e+07 -6.53725967e+07 2.83954802e+09 1.13708306e+07 4.25521900e+09 1.34315883e+09 -1.25720930e+08 1.34433612e+06 -1.54020305e+08 -1.22753794e+06
1.22234184e+04 -3.39799266e+07 -6.00774042e+07 -1.79438136e+06 8.85201222e+07 -6.31872704e+07 -5.97656981e+06 -5.33842396e+06 -1.51913917e+08 1.15278948e+04 4.68898551e+06 -2.17258253e+08 -4.66844720e+06 6.22940592e+08 -4.22154377e+08 -1.21804265e+07 -2.30462623e+08 1.33069266e+09 -1.39302521e+07 -6.61274695e+07 2.83949567e+09 1.13804114e+07 4.25503503e+09 1.34373292e+09 -1.25728513e+08 6.20590742e+06 -1.54564057e+08 -1.43263787e+06
1.22246925e+04 -3.03141205e+07 -6.23123606e+07 -2.31320351e+06 9.06805158e+07 -6.00261978e+07 -6.05772170e+06 -2.11366151e+06 -1.52006655e+08 1.15361302e+04 7.45554118e+06 -2.16954290e+08 -4.72987572e+06 6.23728902e+08 -4.20894421e+08 -1.22033094e+07 -2.31566423e+08 1.33050898e+09 -1.38831160e+07 -6.68823376e+07 2.83944311e+09 1.13899913e+07 4.25485099e+09 1.34430698e+09 -1.25736094e+08 1.10647881e+07 -1.55040677e+08 -1.63711576e+06
1.22259666e+04 -2.65020378e+07 -6.42467245e+07 -2.82087069e+06 9.27280548e+07 -5.67904210e+07 -6.13133450e+06 1.11206849e+06 -1.52029816e+08 1.15390863e+04 1.02209253e+07 -2.16616245e+08 -4.79056118e+06 6.24514856e+08 -4.19632875e+08 -1.22261463e+07 -2.32670073e+08 1.33032443e+09 -1.38359707e+07 -6.76372010e+07 2.83939036e+09 1.13995705e+07 4.25466686e+09 1.34488102e+09 -1.25743672e+08 1.59189373e+07 -1.55450926e+08 -1.84089302e+06
