time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.17710000e+04 -5.79943536e+07 -2.39075344e+07 3.36422350e+06 8.29705711e+07 -7.03519428e+07 -5.75480659e+06 -1.48870546e+08 -8.99875830e+06 6.57678739e+02 1.30641980e+08 1.78913184e+08 5.47834391e+05 2.24585647e+08 -7.41929167e+08 -1.93645462e+06 1.65593884e+08 1.34043111e+09 -2.98674407e+07 2.01826214e+08 2.84558313e+09 7.93313300e+06 4.31549614e+09 1.13842345e+09 -1.22893716e+08 -1.48870546e+08 -8.99875830e+06 6.57678739e+02
1.17710000e+04 -5.79943536e+07 -2.39075344e+07 3.36422350e+06 8.29705711e+07 -7.03519428e+07 -5.75480659e+06 -1.48870546e+08 -8.99875830e+06 6.57678739e+02 1.30641980e+08 1.78913184e+08 5.47834391e+05 2.24585647e+08 -7.41929167e+08 -1.93645462e+06 1.65593884e+08 1.34043111e+09 -2.98674407e+07 2.01826214e+08 2.84558313e+09 7.93313300e+06 4.31549614e+09 1.13842345e+09 -1.22893716e+08 -1.48870546e+08 -8.99875830e+06 6.57678739e+02
1.17724995e+04 -5.66395006e+07 -2.93559118e+07 2.79467529e+06 8.58038647e+07 -6.68489681e+07 -5.87009235e+06 -1.48650514e+08 -1.28623128e+07 9.40167870e+02 1.28212367e+08 1.81013710e+08 6.51408273e+05 2.26185591e+08 -7.41357288e+08 -1.97463251e+06 1.64285621e+08 1.34058202e+09 -2.98179776e+07 2.00939697e+08 2.84560422e+09 7.94469147e+06 4.31531194e+09 1.13910850e+09 -1.22903578e+08 -1.48261540e+08 -1.42263652e+07 -1.45079893e+05
1.17739991e+04 -5.48000409e+07 -3.45535343e+07 2.20118205e+06 8.84892868e+07 -6.32307884e+07 -5.97526168e+06 -1.48330792e+08 -1.67172420e+07 1.22209814e+03 1.25756585e+08 1.83077290e+08 7.54849178e+05 2.27784453e+08 -7.40781859e+08 -2.01280095e+06 1.62977209e+08 1.34073172e+09 -2.97684875e+07 2.00053161e+08 2.84562505e+09 7.95624917e+06 4.31512762e+09 1.13979353e+09 -1.22913438e+08 -1.47552592e+08 -1.94443803e+07 -2.90719615e+05
1.17754986e+04 -5.25123277e+07 -3.94688886e+07 1.58965308e+06 9.10221832e+07 -5.95036203e+07 -6.07013158e+06 -1.47911722e+08 -2.05609750e+07 1.50328135e+03 1.23275234e+08 1.85103647e+08 8.58136591e+05 2.29382223e+08 -7.40202881e+08 -2.05095974e+06 1.61668651e+08 1.34088021e+09 -2.97189704e+07 1.99166605e+08 2.84564560e+09 7.96780611e+06 4.31494319e+09 1.14047852e+09 -1.22923295e+08 -1.46743952e+08 -2.46492572e+07 -4.36162893e+05
1.17769982e+04 -4.98122551e+07 -4.40746461e+07 9.65613590e+05 9.33981558e+07 -5.56738674e+07 -6.15453638e+06 -1.47393712e+08 -2.43909552e+07 1.78353022e+03 1.20768915e+08 1.87092517e+08 9.61250190e+05 2.30978895e+08 -7.39620358e+08 -2.08910871e+06 1.60359946e+08 1.34102749e+09 -2.96694265e+07 1.98280031e+08 2.84566587e+09 7.97936228e+06 4.31475866e+09 1.14116349e+09 -1.22933148e+08 -1.45836110e+08 -2.98374709e+07 -5.81311320e+05
1.17784977e+04 -4.67351059e+07 -4.83470663e+07 3.34239455e+05 9.56130698e+07 -5.17481092e+07 -6.22832802e+06 -1.46777236e+08 -2.82046417e+07 2.06265857e+03 1.18238233e+08 1.89043643e+08 1.06416985e+06 2.32574459e+08 -7.39034289e+08 -2.12724765e+06 1.59051096e+08 1.34117355e+09 -2.96198558e+07 1.97393438e+08 2.84568588e+09 7.99091768e+06 4.31457402e+09 1.14184842e+09 -1.22942999e+08 -1.44829794e+08 -3.50055384e+07 -7.26067258e+05
1.17799973e+04 -4.33154861e+07 -5.22654814e+07 -2.99606624e+05 9.76630610e+07 -4.77330910e+07 -6.29137631e+06 -1.46062832e+08 -3.19995110e+07 2.34048137e+03 1.15683789e+08 1.90956781e+08 1.16687564e+06 2.34168909e+08 -7.38444677e+08 -2.16537640e+06 1.57742103e+08 1.34131841e+09 -2.95702583e+07 1.96506825e+08 2.84570561e+09 8.00247231e+06 4.31438927e+09 1.14253333e+09 -1.22952846e+08 -1.43725966e+08 -4.01500394e+07 -8.70334407e+05
1.17814968e+04 -3.95873261e+07 -5.58118561e+07 -9.31339096e+05 9.95445417e+07 -4.36357134e+07 -6.34356921e+06 -1.45251104e+08 -3.57730588e+07 2.61681491e+03 1.13106189e+08 1.92831695e+08 1.26934784e+06 2.35762235e+08 -7.37851524e+08 -2.20349475e+06 1.56432967e+08 1.34146205e+09 -2.95206340e+07 1.95620194e+08 2.84572506e+09 8.01402616e+06 4.31420441e+09 1.14321821e+09 -1.22962691e+08 -1.42525814e+08 -4.52676354e+07 -1.01401835e+06
1.17829964e+04 -3.55839290e+07 -5.89704165e+07 -1.55661475e+06 1.01254208e+08 -3.94630207e+07 -6.38481294e+06 -1.44342716e+08 -3.95228016e+07 2.89147689e+03 1.10506037e+08 1.94668162e+08 1.37156692e+06 2.37354430e+08 -7.37254831e+08 -2.24160254e+06 1.55123690e+08 1.34160448e+09 -2.94709831e+07 1.94733544e+08 2.84574424e+09 8.02557924e+06 4.31401945e+09 1.14390306e+09 -1.22972532e+08 -1.41230741e+08 -5.03550883e+07 -1.15702710e+06
